Targets, Observers 21 2
Main in iteration 0
Observers observed in 0is 1
Observers observed in 1is 1
Observers observed in 2is 1
Observers observed in 3is 1
Observers observed in 4is 1
Observers observed in 5is 1
Observers observed in 6is 2
Observers observed in 7is 2
Observers observed in 8is 2
Observers observed in 9is 2
Observers observed in 10is 2
Observers observed in 11is 2
Observers observed in 12is 2
Observers observed in 13is 2
Observers observed in 14is 2
Observers observed in 15is 2
Observers observed in 16is 2
Observers observed in 17is 2
Observers observed in 18is 1
Observers observed in 19is 1
Observers observed in 20is 1
Observers observed in 21is 1
Observers observed in 22is 1
Observers observed in 23is 1
Observers observed in 24is 1
Observers observed in 25is 1
Observers observed in 26is 2
Observers observed in 27is 2
Observers observed in 28is 2
Observers observed in 29is 2
Observers observed in 30is 2
Observers observed in 31is 2
Observers observed in 32is 2
Observers observed in 33is 2
Observers observed in 34is 3
Observers observed in 35is 3
Observers observed in 36is 3
Observers observed in 37is 2
Observers observed in 38is 2
Observers observed in 39is 2
Observers observed in 40is 2
Observers observed in 41is 2
Observers observed in 42is 1
Observers observed in 43is 2
Observers observed in 44is 1
Observers observed in 45is 2
Observers observed in 46is 2
Observers observed in 47is 2
Observers observed in 48is 2
Observers observed in 49is 2
Observers observed in 50is 0
Observers observed in 51is 0
Observers observed in 52is 0
Observers observed in 53is 0
Observers observed in 54is 0
Observers observed in 55is 0
Observers observed in 56is 0
Observers observed in 57is 0
Observers observed in 58is 1
Observers observed in 59is 1
Observers observed in 60is 1
Observers observed in 61is 1
Observers observed in 62is 1
Observers observed in 63is 1
Observers observed in 64is 1
Observers observed in 65is 1
Observers observed in 66is 1
Observers observed in 67is 1
Observers observed in 68is 1
Observers observed in 69is 1
Observers observed in 70is 1
Observers observed in 71is 1
Observers observed in 72is 1
Observers observed in 73is 1
Observers observed in 74is 0
Observers observed in 75is 0
Observers observed in 76is 0
Observers observed in 77is 0
Observers observed in 78is 0
Observers observed in 79is 0
Observers observed in 80is 0
Observers observed in 81is 0
Observers observed in 82is 0
Observers observed in 83is 0
Observers observed in 84is 0
Observers observed in 85is 0
Observers observed in 86is 0
Observers observed in 87is 0
Observers observed in 88is 0
Observers observed in 89is 0
Observers observed in 90is 0
Observers observed in 91is 0
